Name,Status,County,Population,Population,Population,Population
,,,Census,Census,Census,Census
,,,4/1/1990,4/1/2000,4/1/2010,4/1/2020
Aliso Viejo,City,Orange,"6,605","39,194","47,668","52,176"
Anaheim,City,Orange,"266,229","327,920","336,332","346,824"
Brea,City,Orange,"33,193","35,556","39,195","47,325"
Buena Park,City,Orange,"68,594","78,456","80,456","84,034"
Costa Mesa,City,Orange,"96,354","109,371","110,082","111,918"
Cypress,City,Orange,"42,634","46,453","47,858","50,151"
Dana Point,City,Orange,"31,781","35,119","33,291","33,107"
Fountain Valley,City,Orange,"54,204","54,921","55,360","57,047"
Fullerton,City,Orange,"114,235","126,187","135,183","143,617"
Garden Grove,City,Orange,"144,216","165,242","170,960","171,949"
Huntington Beach,City,Orange,"181,379","189,591","190,987","198,711"
Irvine,City,Orange,"118,996","144,023","212,125","307,670"
La Habra,City,Orange,"53,096","60,605","61,447","63,097"
La Palma,City,Orange,"15,349","15,478","15,537","15,581"
Laguna Beach,City,Orange,"23,243","23,702","22,743","23,032"
Laguna Hills,City,Orange,"31,333","33,297","30,679","31,374"
Laguna Niguel,City,Orange,"45,049","62,763","62,993","64,355"
Laguna Woods,City,Orange,"15,628","16,190","15,991","17,644"
Lake Forest,City,Orange,"59,044","76,549","77,445","85,858"
Los Alamitos,City,Orange,"11,799","11,547","11,352","11,780"
Mission Viejo,City,Orange,"79,494","92,057","93,101","93,653"
Newport Beach,City,Orange,"66,501","78,761","85,211","85,239"
Orange,City,Orange,"111,399","129,744","136,778","139,911"
Placentia,City,Orange,"41,050","46,546","50,902","51,824"
Rancho Santa Margarita,City,Orange,"13,997","45,038","47,855","47,949"
San Clemente,City,Orange,"41,166","50,031","63,500","64,293"
San Juan Capistrano,City,Orange,"26,187","33,717","34,411","35,196"
Santa Ana,City,Orange,"294,214","337,707","324,778","310,227"
Seal Beach,City,Orange,"25,071","24,497","24,165","25,242"
Stanton,City,Orange,"30,353","38,165","37,829","37,962"
Tustin,City,Orange,"51,567","67,493","75,299","80,276"
Villa Park,City,Orange,"6,196","5,968","5,822","5,843"
Westminster,City,Orange,"78,603","87,992","89,511","90,911"
Yorba Linda,City,Orange,"56,333","58,751","64,176","68,336"
