Department_Name,State,Ori,City,Latitude,Longitude,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
Aliso Viejo Police Department,CA,CA030490X,Aliso Viejo,33.575,-117.725556,44,0,1,0,1,5,34,0,0,85
Anaheim Police Department,CA,CA0300100,Anaheim,33.835292,-117.914503,737,113,1,15,23,155,775,0,0,1819
Brea Police Department,CA,CA0300200,Brea,33.916681,-117.900061,24,7,0,0,0,5,86,0,0,122
Buena Park Police Department,CA,CA0300300,Buena Park,33.867514,-117.998117,97,21,0,1,4,28,140,0,0,291
Costa Mesa Police Department,CA,CA0300400,Costa Mesa,33.641133,-117.918669,204,34,0,0,6,45,146,0,0,435
Cypress Police Department,CA,CA0300500,Cypress,37.320531,-121.962242,48,6,0,1,2,4,29,0,0,90
Dana Point Police Department,CA,CA030360X,Dana Point,33.466972,-117.698108,46,8,0,0,0,10,65,0,0,129
Fountain Valley Police Department,CA,CA0300700,Fountain Valley,33.709186,-117.953669,50,2,0,0,1,10,80,0,0,143
Fullerton Police Department,CA,CA0300800,Fullerton,33.870292,-117.925339,308,53,2,2,12,43,541,0,0,961
Garden Grove Police Department,CA,CA0300900,Garden Grove,33.773906,-117.941447,282,43,0,9,18,68,238,0,0,658
Huntington Beach Police Department,CA,CA0301000,Huntington Beach,33.660297,-117.999225,267,40,1,2,4,53,447,0,0,814
Irvine Police Department,CA,CA0302600,Irvine,33.683947,-117.794694,213,16,0,2,4,30,171,0,0,436
La Habra Police Department,CA,CA0301200,La Habra,33.931958,-117.946172,103,25,0,2,4,12,119,0,0,265
La Palma Police Department,CA,CA0300600,La Palma,33.846403,-118.046731,20,3,0,0,0,3,27,0,0,53
Laguna Beach Police Department,CA,CA0301100,Laguna Beach,33.542247,-117.783111,64,8,0,1,3,6,127,0,0,209
Laguna Hills Police Department,CA,CA030420X,Laguna Hills,33.599722,-117.699444,41,4,0,0,0,6,33,0,0,84
Laguna Niguel Police Department,CA,CA030390X,Laguna Niguel,33.522525,-117.707553,56,3,0,0,1,6,60,0,0,126
Laguna Woods Police Department,CA,CA030470X,Laguna Woods,33.6103,-117.725331,3,0,0,0,0,1,3,0,0,7
Lake Forest Police Department,CA,CA030430X,Lake Forest,33.646967,-117.689217,97,7,0,1,2,6,91,0,0,204
Los Alamitos Police Department,CA,CA0301300,Los Alamitos,33.803072,-118.072564,10,1,0,0,0,0,12,0,0,23
Mission Viejo Police Department,CA,CA030350X,Mission Viejo,33.600022,-117.671994,77,5,0,1,0,6,59,0,0,148
Newport Beach Police Department,CA,CA0301400,Newport Beach,33.618911,-117.928947,129,13,0,2,1,25,189,0,0,359
Orange Police Department,CA,CA0301500,Orange,33.787794,-117.853111,188,21,0,1,6,42,240,0,0,498
Placentia Police Department,CA,CA0301600,Placentia,33.872236,-117.870336,87,6,0,2,1,12,89,0,0,197
Rancho Santa Margarita Police Department,CA,CA030480X,Rancho Santa Margarita,33.640856,-117.603103,36,2,0,0,2,3,28,0,0,71
San Clemente Police Department,CA,CA0301700,San Clemente,33.426972,-117.611992,96,12,0,1,2,9,88,0,0,208
San Juan Capistrano Police Department,CA,CA0301800,San Juan Capistrano,33.501692,-117.66255,59,5,0,0,0,8,45,0,0,117
Santa Ana Police Department,CA,CA0301900,Santa Ana,33.745572,-117.867833,446,116,0,16,46,122,333,0,0,1079
Seal Beach Police Department,CA,CA0302000,Seal Beach,33.741406,-118.104786,26,2,0,1,0,6,46,0,0,81
Stanton Police Department,CA,CA0302100,Stanton,33.802517,-117.993117,63,9,0,2,2,21,46,0,0,143
Tustin Police Department,CA,CA0302200,Tustin,33.74585,-117.826167,164,19,0,2,8,37,178,0,0,408
Villa Park Police Department,CA,CA0302300,Villa Park,33.814461,-117.813111,2,0,0,0,0,0,8,0,0,10
Westminster Police Department,CA,CA0302400,Westminster,33.751342,-117.993992,176,25,1,4,3,38,188,0,0,435
Yorba Linda Police Department,CA,CA0302500,Yorba Linda,33.888625,-117.813111,22,1,0,0,0,5,29,0,0,57
,,,Anaheim Hills,,,,,,,,,,,,
,,,La Mirada,,,,,,,,,,,,
,,,Foothill Ranch,,,,,,,,,,,,
,,,Sunset Beach,,,,,,,,,,,,
,,,Surfside,,,,,,,,,,,,
,,,La Habra Heights,,,,,,,,,,,,
,,,Ladera Ranch,,,,,,,,,,,,
,,,Rossmoor,,,,,,,,,,,,
,,,Midway City,,,,,,,,,,,,
,,,Trabuco Canyon,,,,,,,,,,,,
,,,Newport Coast,,,,,,,,,,,,
,,,North Tustin,,,,,,,,,,,,
,,,Coto de Caza,,,,,,,,,,,,
