,Department_Name,State,Ori,City
1,Anaheim Police Department,CA,CA0300100,Anaheim
2,Brea Police Department,CA,CA0300200,Brea
3,Buena Park Police Department,CA,CA0300300,Buena Park
4,Costa Mesa Police Department,CA,CA0300400,Costa Mesa
5,Cypress Police Department,CA,CA0300500,Cypress
6,La Palma Police Department,CA,CA0300600,La Palma
7,Fountain Valley Police Department,CA,CA0300700,Fountain Valley
8,Fullerton Police Department,CA,CA0300800,Fullerton
9,Garden Grove Police Department,CA,CA0300900,Garden Grove
10,Huntington Beach Police Department,CA,CA0301000,Huntington Beach
11,Laguna Beach Police Department,CA,CA0301100,Laguna Beach
12,La Habra Police Department,CA,CA0301200,La Habra
13,Los Alamitos Police Department,CA,CA0301300,Los Alamitos
14,Newport Beach Police Department,CA,CA0301400,Newport Beach
15,Orange Police Department,CA,CA0301500,Orange
16,Placentia Police Department,CA,CA0301600,Placentia
17,San Clemente Police Department,CA,CA0301700,San Clemente
18,San Juan Capistrano Police Department,CA,CA0301800,San Juan Capistrano
19,Santa Ana Police Department,CA,CA0301900,Santa Ana
20,Seal Beach Police Department,CA,CA0302000,Seal Beach
21,Stanton Police Department,CA,CA0302100,Stanton
22,Tustin Police Department,CA,CA0302200,Tustin
23,Villa Park Police Department,CA,CA0302300,Villa Park
24,Westminster Police Department,CA,CA0302400,Westminster
25,Yorba Linda Police Department,CA,CA0302500,Yorba Linda
26,Irvine Police Department,CA,CA0302600,Irvine
31,Mission Viejo Police Department,CA,CA030350X,Mission Viejo
32,Dana Point Police Department,CA,CA030360X,Dana Point
33,Laguna Niguel Police Department,CA,CA030390X,Laguna Niguel
34,Laguna Hills Police Department,CA,CA030420X,Laguna Hills
35,Lake Forest Police Department,CA,CA030430X,Lake Forest
36,Laguna Woods Police Department,CA,CA030470X,Laguna Woods
37,Rancho Santa Margarita Police Department,CA,CA030480X,Rancho Santa Margarita
38,Aliso Viejo Police Department,CA,CA030490X,Aliso Viejo
